onset	duration	sample	value
0.8759765625	1.0000000000	897	S200
64.3017578125	1.0000000000	65845	S 72
69.7011718750	1.0000000000	71374	S 74
70.5273437500	1.0000000000	72220	S 80
77.2783203125	1.0000000000	79133	S 72
80.2314453125	1.0000000000	82157	S 75
81.0644531250	1.0000000000	83010	S 80
88.0166015625	1.0000000000	90129	S 71
90.7148437500	1.0000000000	92892	S 74
91.5507812500	1.0000000000	93748	S 80
99.4853515625	1.0000000000	101873	S 71
102.5937500000	1.0000000000	105056	S 75
103.4238281250	1.0000000000	105906	S 80
109.2832031250	1.0000000000	111906	S 71
111.9130859375	1.0000000000	114599	S 74
112.7412109375	1.0000000000	115447	S 80
120.5781250000	1.0000000000	123472	S 72
122.7753906250	1.0000000000	125722	S 74
123.6123046875	1.0000000000	126579	S 81
129.6113281250	1.0000000000	132722	S 72
131.6796875000	1.0000000000	134840	S 75
132.5126953125	1.0000000000	135693	S 81
138.9873046875	1.0000000000	142323	S 71
141.0996093750	1.0000000000	144486	S 75
141.9306640625	1.0000000000	145337	S 80
147.9609375000	1.0000000000	151512	S 71
150.3847656250	1.0000000000	153994	S 75
151.2148437500	1.0000000000	154844	S 81
157.7617187500	1.0000000000	161548	S 72
160.2500000000	1.0000000000	164096	S 75
161.0839843750	1.0000000000	164950	S 81
167.4970703125	1.0000000000	171517	S 71
169.0146484375	1.0000000000	173071	S 76
169.8505859375	1.0000000000	173927	S 81
176.0000000000	1.0000000000	180224	S 72
178.2333984375	1.0000000000	182511	S 76
179.0683593750	1.0000000000	183366	S 80
186.3242187500	1.0000000000	190796	S 71
188.4667968750	1.0000000000	192990	S 75
189.3046875000	1.0000000000	193848	S 81
195.3916015625	1.0000000000	200081	S 71
197.8593750000	1.0000000000	202608	S 75
198.6894531250	1.0000000000	203458	S 81
204.7919921875	1.0000000000	209707	S 71
206.2636718750	1.0000000000	211214	S 76
207.0888671875	1.0000000000	212059	S 80
213.2597656250	1.0000000000	218378	S 72
215.3544921875	1.0000000000	220523	S 75
216.1894531250	1.0000000000	221378	S 80
225.1796875000	1.0000000000	230584	S 71
227.1650390625	1.0000000000	232617	S 75
227.9951171875	1.0000000000	233467	S 80
235.5810546875	1.0000000000	241235	S 72
236.9775390625	1.0000000000	242665	S 74
237.8144531250	1.0000000000	243522	S 81
244.2392578125	1.0000000000	250101	S 72
245.6806640625	1.0000000000	251577	S 75
246.5146484375	1.0000000000	252431	S 81
252.9482421875	1.0000000000	259019	S 71
255.2802734375	1.0000000000	261407	S 75
256.1162109375	1.0000000000	262263	S 81
263.1494140625	1.0000000000	269465	S 71
266.0722656250	1.0000000000	272458	S 76
266.9033203125	1.0000000000	273309	S 80
273.1816406250	1.0000000000	279738	S 71
275.3261718750	1.0000000000	281934	S 75
276.1542968750	1.0000000000	282782	S 80
287.0673828125	1.0000000000	293957	S 72
289.6376953125	1.0000000000	296589	S 75
290.4648437500	1.0000000000	297436	S 80
300.4296875000	1.0000000000	307640	S 71
303.3535156250	1.0000000000	310634	S 74
304.1748046875	1.0000000000	311475	S 81
310.2275390625	1.0000000000	317673	S 72
313.2060546875	1.0000000000	320723	S 75
314.0263671875	1.0000000000	321563	S 80
321.5419921875	1.0000000000	329259	S 72
323.7060546875	1.0000000000	331475	S 74
324.5302734375	1.0000000000	332319	S 80
331.0019531250	1.0000000000	338946	S 72
333.0351562500	1.0000000000	341028	S 74
333.8652343750	1.0000000000	341878	S 80
342.1943359375	1.0000000000	350407	S 71
344.9306640625	1.0000000000	353209	S 74
345.7539062500	1.0000000000	354052	S 81
351.9033203125	1.0000000000	360349	S 72
355.4882812500	1.0000000000	364020	S 75
356.3242187500	1.0000000000	364876	S 81
363.3320312500	1.0000000000	372052	S 71
365.1494140625	1.0000000000	373913	S 75
365.9765625000	1.0000000000	374760	S 81
372.2519531250	1.0000000000	381186	S 71
373.7529296875	1.0000000000	382723	S 76
374.5761718750	1.0000000000	383566	S 81
381.5312500000	1.0000000000	390688	S 72
382.8574218750	1.0000000000	392046	S 76
383.6933593750	1.0000000000	392902	S 81
390.3525390625	1.0000000000	399721	S 71
392.1933593750	1.0000000000	401606	S 76
393.0273437500	1.0000000000	402460	S 80
399.2802734375	1.0000000000	408863	S 72
401.0507812500	1.0000000000	410676	S 75
401.8779296875	1.0000000000	411523	S 81
408.0908203125	1.0000000000	417885	S 72
410.9365234375	1.0000000000	420799	S 76
411.7636718750	1.0000000000	421646	S 80
418.6162109375	1.0000000000	428663	S 71
419.8945312500	1.0000000000	429972	S 76
420.7314453125	1.0000000000	430829	S 81
426.8662109375	1.0000000000	437111	S 71
430.0078125000	1.0000000000	440328	S 75
430.8339843750	1.0000000000	441174	S 81
438.2949218750	1.0000000000	448814	S 71
440.4853515625	1.0000000000	451057	S 76
441.3203125000	1.0000000000	451912	S 81
447.1279296875	1.0000000000	457859	S 71
449.6025390625	1.0000000000	460393	S 76
450.4375000000	1.0000000000	461248	S 81
456.6738281250	1.0000000000	467634	S 71
458.8515625000	1.0000000000	469864	S 75
459.6894531250	1.0000000000	470722	S 81
466.0986328125	1.0000000000	477285	S 72
469.8417968750	1.0000000000	481118	S 75
470.6767578125	1.0000000000	481973	S 81
476.6835937500	1.0000000000	488124	S 71
479.0673828125	1.0000000000	490565	S 76
479.8945312500	1.0000000000	491412	S 81
485.9150390625	1.0000000000	497577	S 71
489.5800781250	1.0000000000	501330	S 75
490.4140625000	1.0000000000	502184	S 81
497.2060546875	1.0000000000	509139	S 71
498.7802734375	1.0000000000	510751	S 75
499.6152343750	1.0000000000	511606	S 81
506.0937500000	1.0000000000	518240	S 72
507.6416015625	1.0000000000	519825	S 75
508.4658203125	1.0000000000	520669	S 81
514.4716796875	1.0000000000	526819	S 71
516.5527343750	1.0000000000	528950	S 75
517.3828125000	1.0000000000	529800	S 81
523.7607421875	1.0000000000	536331	S 72
526.5791015625	1.0000000000	539217	S 75
527.4023437500	1.0000000000	540060	S 81
534.6855468750	1.0000000000	547518	S 71
536.1982421875	1.0000000000	549067	S 76
537.0205078125	1.0000000000	549909	S 80
543.4267578125	1.0000000000	556469	S 72
545.9990234375	1.0000000000	559103	S 75
546.8222656250	1.0000000000	559946	S 81
552.7011718750	1.0000000000	565966	S 72
554.1142578125	1.0000000000	567413	S 75
554.9384765625	1.0000000000	568257	S 81
561.1396484375	1.0000000000	574607	S 72
562.7685546875	1.0000000000	576275	S 75
563.6044921875	1.0000000000	577131	S 81
569.5156250000	1.0000000000	583184	S 72
571.1162109375	1.0000000000	584823	S 76
571.9541015625	1.0000000000	585681	S 81
578.0507812500	1.0000000000	591924	S 71
579.3125000000	1.0000000000	593216	S 76
580.1367187500	1.0000000000	594060	S 81
586.1279296875	1.0000000000	600195	S 71
587.4414062500	1.0000000000	601540	S 76
588.2685546875	1.0000000000	602387	S 80
594.4042968750	1.0000000000	608670	S 72
596.1806640625	1.0000000000	610489	S 75
596.9853515625	1.0000000000	611313	S 80
603.8759765625	1.0000000000	618369	S 71
606.0146484375	1.0000000000	620559	S 75
606.8369140625	1.0000000000	621401	S 81
613.1337890625	1.0000000000	627849	S 72
615.0478515625	1.0000000000	629809	S 75
615.8710937500	1.0000000000	630652	S 81
